warranty_id,type1,original_damage,field_id,warranty_dmgdate,geom
2739,drought,2,11031,2020-10-07,"POLYGON ((104.40497383475304 14.88839750459551, 104.40519612282515 14.888786976620255, 104.40588880330323 14.888042702096744, 104.40627671778202 14.88768401075767, 104.40667904913427 14.887447799062022, 104.40673805773258 14.88716363183681, 104.4064963236451 14.887202514489521, 104.40604504197836 14.887449743192253, 104.40497383475304 14.88839750459551))"
2740,drought,2,11035,2020-09-02,"POLYGON ((104.41219668835402 14.880380769767925, 104.41251721233131 14.880818212969947, 104.4133010879159 14.880505846211104, 104.41374465823174 14.880259257609875, 104.41421639174223 14.880035351027288, 104.41396292299034 14.879548977172078, 104.4134596735239 14.879741128999452, 104.41219668835402 14.880380769767925))"
2756,drought,2,10947,2020-09-17,"POLYGON ((104.41129311919212 14.887337631653166, 104.4126992672682 14.887328559040508, 104.41268652677537 14.88677415687845, 104.4112166762352 14.887003240820237, 104.41129311919212 14.887337631653166))"
2759,drought,3,11078,2020-10-08,"POLYGON ((104.41094711422919 14.885986780229002, 104.41153753548862 14.885843561615683, 104.41200960427521 14.885712331807277, 104.41256951540709 14.885618364734883, 104.41296413540839 14.885587582409162, 104.41352102905512 14.88554772739142, 104.41332422196865 14.88503674004774, 104.41296480596066 14.885131355424072, 104.4124538451433 14.885264529736132, 104.41204715520144 14.885411313006655, 104.41163308918476 14.885498475652017, 104.41096287220716 14.885737281678235, 104.41094711422919 14.885986780229002))"
2760,drought,3,11078,2020-10-08,"POLYGON ((104.41094711422919 14.885986780229002, 104.41153753548862 14.885843561615683, 104.41200960427521 14.885712331807277, 104.41256951540709 14.885618364734883, 104.41296413540839 14.885587582409162, 104.41352102905512 14.88554772739142, 104.41332422196865 14.88503674004774, 104.41296480596066 14.885131355424072, 104.4124538451433 14.885264529736132, 104.41204715520144 14.885411313006655, 104.41163308918476 14.885498475652017, 104.41096287220716 14.885737281678235, 104.41094711422919 14.885986780229002))"
2761,drought,2,11095,2020-05-15,"POLYGON ((104.41159822046755 14.884371839040043, 104.41182855516672 14.885006929715102, 104.41260237246753 14.884730211865277, 104.41384859383106 14.884279815542135, 104.41358104348183 14.883307085883843, 104.41244378685951 14.883868625559234, 104.41206928342581 14.882929268983691, 104.41134106367826 14.883374807711059, 104.41159822046755 14.884371839040043))"
2762,drought,2,11092,2020-09-09,"POLYGON ((104.40472606569529 14.888062467365476, 104.40495070070028 14.88837838739814, 104.40574832260609 14.887649016448728, 104.40616004168987 14.887417016997563, 104.40677493810654 14.887129609509934, 104.40681919455528 14.886860670927504, 104.4065945595503 14.886851274272175, 104.40584991127253 14.887181453053515, 104.40541572868824 14.887388179059508, 104.40472606569529 14.888062467365476))"
2768,drought,3,11119,2020-08-13,"POLYGON ((104.38449617475273 14.884663138515632, 104.38449617475273 14.884663138515632, 104.38449617475273 14.884663138515632, 104.38448343425989 14.883757484239283, 104.38349805772303 14.883681337820837, 104.38347157090902 14.884660870334368, 104.38449617475273 14.884663138515632))"
2778,drought,2,9827,2020-06-10,"POLYGON ((104.03316602110861 15.880272212096674, 104.03540063649416 15.88122933197069, 104.03539828956129 15.881100985297499, 104.03443805873394 15.880525359136511, 104.03401862829924 15.880373148470445, 104.03408098965883 15.880169663268966, 104.03311673551798 15.879711417712176, 104.03316602110861 15.880272212096674))"
2802,drought,2,11257,2020-09-09,"POLYGON ((104.42353572696449 14.87935552903798, 104.42390084266663 14.879153655842002, 104.42432194948196 14.878943681594938, 104.42465253174305 14.87875412133521, 104.42464079707861 14.878314729733443, 104.42464414983986 14.87813910245634, 104.42423444241285 14.878293343393684, 104.42387770861387 14.878436891057701, 104.42323632538319 14.878751529057004, 104.42353572696449 14.87935552903798))"
2831,drought,2,11329,2020-08-04,"POLYGON ((104.41224429756403 14.883071841476639, 104.41206257790327 14.882483405306417, 104.41335372626781 14.881976947118401, 104.41397666931152 14.881706705986215, 104.41419392824172 14.882257880885936, 104.41424824297428 14.882394621295472, 104.41373996436596 14.882677822720929, 104.41224429756403 14.883071841476639))"
2896,drought,2,11733,2021-01-09,"POLYGON ((104.27740160375835 15.475129793993803, 104.27722826600075 15.475250641267673, 104.27748039364815 15.475599288488503, 104.27823107689619 15.475679422335746, 104.27827566862108 15.47543934382157, 104.27740160375835 15.475129793993803))"
2925,drought,2,12269,2020-08-25,"POLYGON ((100.45324444770813 15.672480038614188, 100.4528072476387 15.668658242245247, 100.45281127095221 15.666991530549856, 100.45356094837187 15.666864339519197, 100.45369874686003 15.668672769016045, 100.45390628278255 15.671114543097021, 100.45408297330141 15.672247291678616, 100.45324444770813 15.672480038614188, 100.45324444770813 15.672480038614188, 100.45324444770813 15.672480038614188))"
2926,drought,2,12271,2020-08-25,"POLYGON ((100.41619040071964 15.680221547644978, 100.41657362133265 15.68306635416595, 100.41709464043379 15.683015352650722, 100.41671074926853 15.680152791476358, 100.41619040071964 15.680221547644978))"
2927,drought,2,12270,2020-08-25,"POLYGON ((100.41581187397243 15.680255118723586, 100.41613943874836 15.683156413772481, 100.41659474372864 15.683096374039204, 100.41619945317508 15.68023349120242, 100.41581187397243 15.680255118723586))"
2929,drought,2,11942,2020-10-21,"POLYGON ((99.4946712255478 19.14092234610404, 99.49423838406801 19.141168769930772, 99.49415624141692 19.140946418370675, 99.49335224926472 19.1409806263225, 99.49333481490613 19.14115166597524, 99.4929163902998 19.141131711358216, 99.49290465563536 19.14139808945964, 99.49238363653421 19.141350895273245, 99.49212446808814 19.141292298445848, 99.49207451194525 19.14093818312196, 99.49254121631384 19.14087673548394, 99.49254456907512 19.14064773197173, 99.49256099760532 19.14035189570559, 99.4936778023839 19.14028506324229, 99.49410930275917 19.140089000077722, 99.4946712255478 19.14092234610404))"
2930,drought,2,11942,2020-10-21,"POLYGON ((99.4946712255478 19.14092234610404, 99.49423838406801 19.141168769930772, 99.49415624141692 19.140946418370675, 99.49335224926472 19.1409806263225, 99.49333481490613 19.14115166597524, 99.4929163902998 19.141131711358216, 99.49290465563536 19.14139808945964, 99.49238363653421 19.141350895273245, 99.49212446808814 19.141292298445848, 99.49207451194525 19.14093818312196, 99.49254121631384 19.14087673548394, 99.49254456907512 19.14064773197173, 99.49256099760532 19.14035189570559, 99.4936778023839 19.14028506324229, 99.49410930275917 19.140089000077722, 99.4946712255478 19.14092234610404))"
2931,drought,2,11942,2020-10-21,"POLYGON ((99.4946712255478 19.14092234610404, 99.49423838406801 19.141168769930772, 99.49415624141692 19.140946418370675, 99.49335224926472 19.1409806263225, 99.49333481490613 19.14115166597524, 99.4929163902998 19.141131711358216, 99.49290465563536 19.14139808945964, 99.49238363653421 19.141350895273245, 99.49212446808814 19.141292298445848, 99.49207451194525 19.14093818312196, 99.49254121631384 19.14087673548394, 99.49254456907512 19.14064773197173, 99.49256099760532 19.14035189570559, 99.4936778023839 19.14028506324229, 99.49410930275917 19.140089000077722, 99.4946712255478 19.14092234610404))"
2934,drought,2,12296,2020-10-10,"POLYGON ((103.43894876539707 15.199436198483895, 103.43884248286486 15.20047607873446, 103.43938630074263 15.200450195031888, 103.43950264155865 15.199402225956117, 103.43894876539707 15.199436198483895))"
2936,flood,1,12338,2021-06-09,"POLYGON ((98.61439134925604 9.895356161738677, 98.6145881563425 9.894903336153009, 98.61368257552385 9.89432070625357, 98.61356757581234 9.894611030465283, 98.61439134925604 9.895356161738677))"
2945,drought,2,12392,2020-08-01,"POLYGON ((100.65621759742498 15.753379813350962, 100.65642546862364 15.751893207813655, 100.65758988261223 15.752003888826533, 100.65742660313845 15.753426925048156, 100.65621759742498 15.753379813350962))"
2946,drought,2,12394,2020-08-01,"POLYGON ((100.65723549574614 15.748896407730683, 100.65736457705498 15.748377521521041, 100.65854977816343 15.748726350020654, 100.6583596765995 15.749234586586862, 100.65723549574614 15.748896407730683))"
2947,drought,2,12395,2020-08-01,"POLYGON ((100.65422873944043 15.760504204017986, 100.65330807119608 15.754579544811042, 100.65268646925688 15.754711521292608, 100.65262477844952 15.756541435746918, 100.65288830548525 15.756909288187314, 100.6530874595046 15.75811222555017, 100.65300162881613 15.760850752992532, 100.65422873944043 15.760504204017986))"
2948,drought,2,12396,2020-08-01,"POLYGON ((100.65341971814632 15.760751370293105, 100.6544915959239 15.765623646651658, 100.65340597182514 15.76600213050876, 100.65230291336773 15.761116956412001, 100.65341971814632 15.760751370293105))"
2949,drought,2,12397,2020-08-01,"POLYGON ((100.65938562154768 15.768570510412953, 100.66035121679306 15.771398917300347, 100.66116224974394 15.773777510499544, 100.661735907197 15.773633608339582, 100.65995458513498 15.768413052881868, 100.65938562154768 15.768570510412953, 100.65938562154768 15.768570510412953))"
2950,drought,2,12398,2020-08-01,"POLYGON ((100.66104087978601 15.748585657006839, 100.66227503120898 15.749207803358287, 100.66255968064071 15.74804869928804, 100.66263880580665 15.7461509425189, 100.66131245344877 15.74603670867734, 100.66104087978601 15.748585657006839))"
2951,drought,2,12399,2021-08-01,"POLYGON ((100.64644765108824 15.764534331969454, 100.64655527472496 15.765518781007973, 100.64678963273764 15.766505806567428, 100.64626459032297 15.766648745797735, 100.64571272581814 15.764813437147456, 100.64644765108824 15.764534331969454))"
2952,drought,3,3746,2021-06-15,"POLYGON ((100.65340161323546 15.766024071580283, 100.65314177423717 15.76504865959479, 100.6529999524355 15.764346540755078, 100.6527354195714 15.762948426475237, 100.65226972103119 15.76113889801162, 100.65195690840483 15.761203109443903, 100.65244574099779 15.763141058993975, 100.65322626382113 15.766064081763417, 100.65340161323546 15.766024071580283))"
2953,drought,3,1665,2021-06-15,"POLYGON ((100.65241422504187 15.766374483077477, 100.65260633826256 15.76626768184732, 100.65248932689428 15.76575819725974, 100.65213829278947 15.76426813303168, 100.65178792923689 15.762846463460003, 100.65137822180986 15.761333145598838, 100.65086055546998 15.761382836812224, 100.65132927149534 15.763398870068825, 100.65237633883953 15.76638029099775, 100.65241422504187 15.766374483077477))"
2959,drought,3,3747,2021-06-15,"POLYGON ((100.65320916473864 15.766057951171357, 100.65278772264719 15.764391391249912, 100.65218422561883 15.762080771205955, 100.6519505381584 15.761173746429654, 100.6516893580556 15.761241184554963, 100.65231263637543 15.763618283491622, 100.65276592969896 15.765410688672393, 100.65298687666655 15.766121838384828, 100.65320916473864 15.766057951171357))"
2960,drought,3,12446,2021-06-15,"POLYGON ((100.65531201660635 15.760163139877926, 100.65498579293488 15.758893098457111, 100.65430652350189 15.756249412063188, 100.65399538725615 15.754384645400249, 100.65331444144249 15.754593420093087, 100.65362926572561 15.756158416752163, 100.65380897372961 15.757943788934332, 100.65430149435997 15.760429021527372, 100.65531201660635 15.760163139877926))"
2963,drought,3,3746,2021-06-15,"POLYGON ((100.65340161323546 15.766024071580283, 100.65314177423717 15.76504865959479, 100.6529999524355 15.764346540755078, 100.6527354195714 15.762948426475237, 100.65226972103119 15.76113889801162, 100.65195690840483 15.761203109443903, 100.65244574099779 15.763141058993975, 100.65322626382113 15.766064081763417, 100.65340161323546 15.766024071580283))"
2964,drought,3,12449,2021-06-15,"POLYGON ((100.67186426371336 15.755996109411761, 100.67187801003458 15.754641176870562, 100.67179452627897 15.753521148409774, 100.67177943885326 15.75165538864029, 100.67171070724724 15.750549864648468, 100.67220155149698 15.750553736897116, 100.67228771746159 15.756006757809843, 100.67186426371336 15.755996109411761))"
2965,drought,3,12453,2021-06-15,"POLYGON ((100.65598491579294 15.759933074528895, 100.65583035349846 15.759247717021179, 100.6557622924447 15.75868949097619, 100.65563689917327 15.75807318182599, 100.65533649176358 15.75711902831557, 100.65520204603672 15.756425271679937, 100.65573882311583 15.756323628066806, 100.65620955079793 15.756223597794694, 100.65641574561596 15.757077725661292, 100.6570413708687 15.759616855250666, 100.65598491579294 15.759933074528895))"
2966,drought,3,12450,2021-06-15,"POLYGON ((100.67221831530331 15.75607032550796, 100.67227162420751 15.753933213761917, 100.6722193211317 15.750684747932937, 100.6726722791791 15.75071927545786, 100.67271552979948 15.751261066412283, 100.67272759974003 15.752183947021829, 100.67274436354639 15.75310456465505, 100.672746039927 15.7542194325082, 100.6727446988225 15.75518489344398, 100.67270882427691 15.756020632994375, 100.67221831530331 15.75607032550796))"
2967,drought,3,1685,2021-06-15,"POLYGON ((100.65262980759142 15.76623380229127, 100.65245881676672 15.765591702969013, 100.65226905047894 15.764752130840664, 100.65138157457113 15.761315721404248, 100.65138157457113 15.761315721404248, 100.65138157457113 15.761315721404248, 100.65169170498848 15.761233117794745, 100.65198943018913 15.76235278104796, 100.65227843821049 15.763695400800058, 100.65296340733768 15.766141843467741, 100.65262980759142 15.76623380229127))"
2968,drought,3,3543,2021-06-15,"POLYGON ((100.670269690454 15.756009984597018, 100.67028544843197 15.754253636750798, 100.67032232880592 15.751192011540724, 100.67101936787367 15.751156193350452, 100.67109815776347 15.754174902447906, 100.67111425101756 15.756066776043108, 100.67027438431978 15.756086136759736, 100.670269690454 15.756009984597018))"
2969,drought,3,3532,2021-06-15,"POLYGON ((100.6718260422349 15.75603192674854, 100.67180961370468 15.754710553250272, 100.67179150879383 15.75361795318784, 100.671728476882 15.750540506713934, 100.67105256021023 15.750593104754191, 100.67105825990438 15.75200485688176, 100.67106429487467 15.754302361652451, 100.67109379917383 15.756047415324634, 100.6718260422349 15.75603192674854, 100.6718260422349 15.75603192674854))"
2970,drought,3,1835,2021-06-15,"POLYGON ((100.6436548009515 15.775215235891265, 100.64324643462895 15.776486465741518, 100.64252324402332 15.776219959839162, 100.64125288277864 15.77582600797881, 100.64217992126942 15.774096288911855, 100.64368396997452 15.77511553757872, 100.6436548009515 15.775215235891265))"
2971,drought,3,3514,2021-06-15,"POLYGON ((100.67354 15.75057, 100.67472 15.75061, 100.6747 15.75125, 100.67472 15.75284, 100.67507 15.75456, 100.67495 15.75588, 100.67372 15.75596, 100.6737 15.75383, 100.67366 15.75239, 100.67354 15.75057))"
